prepare intput
515
build model
training
-- line number 999
allocated: 418M, max allocated: 418M, cached: 472M, max cached: 472M
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 46
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 47
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 48
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 49
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 50
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 51
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 52
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 53
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 54
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 55
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 56
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 57
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 58
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 59
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 60
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 61
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 62
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 63
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 64
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 65
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 66
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 67
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 68
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 69
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 70
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 71
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 72
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 73
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 74
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 75
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 76
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 77
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 78
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 79
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 80
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 81
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 82
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 83
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 84
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 85
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 86
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 87
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 88
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 89
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 90
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 91
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 92
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 93
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 94
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 95
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 96
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 97
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 98
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 99
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 100
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 101
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 102
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 103
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 104
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 105
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 106
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 107
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 108
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 109
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 110
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 111
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 112
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 113
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 114
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 115
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 116
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 117
allocated: 1693M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 118
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 119
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 120
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 121
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 122
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 123
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 124
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 125
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 126
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 127
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 128
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 129
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 130
allocated: 1693M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 131
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 132
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 133
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 134
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 135
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 136
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 137
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 138
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 139
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 140
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 141
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 142
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 143
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 144
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 145
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 146
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 147
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 148
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 149
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 150
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 151
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 152
allocated: 1694M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 153
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 154
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 155
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 156
allocated: 1693M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 157
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 158
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 159
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 160
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 161
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 162
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 163
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 164
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 165
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 166
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 167
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 168
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 169
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 170
allocated: 1693M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 171
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 172
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 173
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 174
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 175
allocated: 1694M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 176
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 177
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 178
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 179
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 180
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 181
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 182
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 183
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 184
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 185
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 186
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 187
allocated: 1693M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 188
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 189
allocated: 1694M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 190
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 191
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 192
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 193
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 194
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 195
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 196
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 197
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 198
allocated: 1688M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 199
allocated: 1694M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 200
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 201
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 202
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 203
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 204
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 205
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 206
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 207
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 208
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 209
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 210
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 211
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 212
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 213
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 214
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 215
allocated: 1693M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 216
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 217
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 218
allocated: 1694M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 219
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 220
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 221
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 222
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 223
allocated: 1694M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 224
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 225
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 226
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 227
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 228
allocated: 1694M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 229
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 230
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 231
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 232
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 233
allocated: 1694M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 234
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 235
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 236
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 237
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 238
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 239
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 240
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 241
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 242
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 243
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 244
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 245
allocated: 1693M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 246
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 247
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 248
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 249
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 250
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 251
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 252
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 253
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 254
allocated: 1694M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 255
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 256
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 257
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 258
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 259
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 260
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 261
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 262
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 263
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 264
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 265
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 266
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 267
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 268
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 269
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 270
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 271
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 272
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 273
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 274
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 275
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 276
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 277
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 278
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 279
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 280
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 281
allocated: 1693M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 282
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 283
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 284
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 285
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 286
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 287
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 288
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 289
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 290
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 291
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 292
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 293
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 294
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 295
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 296
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 297
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 298
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 299
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 300
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 301
allocated: 1688M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 302
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 303
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 304
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 305
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 306
allocated: 1692M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 307
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 308
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 309
allocated: 1691M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 310
allocated: 1689M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 311
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 312
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 313
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 314
allocated: 1690M, max allocated: 2857M, cached: 3268M, max cached: 3268M
-- batch number 315
